HPR ASTR,HPR IWM
,
2.10,7.98
1.86,4.73
30.33,6.02
-16.82,1.20
-10.92,1.77
-4.55,0.27
20.11,1.70
-38.90,-3.69
11.92,2.18
-8.17,-3.23
11.41,4.16
11.89,-4.43
-45.93,1.94
-37.14,-10.02
-31.74,1.03
10.36,0.95
-18.75,-10.42
-21.54,0.19
-68.54,-9.00
9.53,10.04
-51.67,-2.02
-33.37,-10.68
3.06,10.58
-24.32,2.18
-12.95,-7.20
38.22,9.37
-10.96,-1.74
-29.35,-5.34
-0.47,-1.81
-16.13,-0.82
2.47,7.48
10.54,5.93
-46.32,-5.22
-73.81,-6.50
-83.96,-7.16
52.45,8.80
52.41,11.08
-14.11,-3.98
-36.83,5.47
-86.82,0.66
0.87,0.06
