HPR ASTR,HPR RUT
,
2.099,8.176
1.8619,4.8808
30.3336,5.9629
-16.8228,0.8807
-10.9232,2.0473
-4.5484,0.1111
20.1121,1.816
-38.9002,-3.7167
11.9242,2.1121
-8.1723,-3.0997
11.4068,4.1245
11.8923,-4.3725
-45.9305,2.0882
-37.1419,-10.1572
-31.7408,0.9636
10.3635,1.0704
-18.7516,-10.4833
-21.5361,-0.0032
-68.5425,-8.7429
9.531,9.8733
-51.667,-2.2048
-33.3663,-10.2345
3.0623,10.383
-24.3184,2.1279
-12.9491,-6.8742
38.2154,9.2501
-10.9562,-1.8256
-29.3547,-5.1105
-0.4717,-1.8755
-16.1268,-1.0993
2.4693,7.6489
10.5361,5.8831
-46.3198,-5.305
-73.8069,-6.2211
-83.958,-7.1284
52.4499,8.4595
52.4071,11.3806
-14.1079,-4.0127
-36.8286,5.3734
-86.8196,0.5165
0.8658,0.0194
