date,%wageUS YoY,%hprice US YoY,%30yr fixed rate US YoY
1980,,,
1981,10.07%,8.90%,21.11%
1982,5.51%,0.81%,-3.61%
1983,4.87%,7.07%,-17.46%
1984,5.88%,8.66%,4.83%
1985,4.26%,3.36%,-10.45%
1986,2.97%,11.16%,-16.41%
1987,6.38%,13.83%,0.10%
1988,4.93%,8.68%,-0.19%
1989,3.96%,6.83%,-1.25%
1990,4.62%,0.64%,-2.73%
1991,3.73%,-1.21%,-8.83%
1992,5.15%,-1.77%,-9.02%
1993,0.86%,1.94%,-13.30%
1994,2.68%,4.54%,15.48%
1995,4.01%,2.32%,-5.07%
1996,4.89%,4.93%,-1.27%
1997,5.84%,5.65%,-2.45%
1998,5.23%,3.59%,-8.72%
1999,5.57%,7.47%,7.96%
2000,5.53%,5.50%,8.31%
2001,2.39%,2.76%,-13.24%
2002,1.00%,7.42%,-6.28%
2003,2.44%,7.87%,-10.35%
2004,4.65%,11.28%,-0.17%
2005,3.66%,7.04%,0.85%
2006,4.60%,4.33%,9.11%
2007,4.54%,1.94%,-1.08%
2008,2.30%,-6.69%,-2.66%
2009,-1.51%,-6.82%,-13.64%
2010,2.36%,0.99%,-9.67%
2011,3.13%,-2.73%,-4.32%
2012,3.12%,8.93%,-16.56%
2013,1.28%,11.60%,7.22%
2014,3.55%,7.40%,3.61%
2015,3.48%,1.45%,-7.42%
2016,1.13%,2.63%,-5.01%
2017,3.45%,5.98%,9.23%
2018,3.62%,0.35%,13.53%
2019,3.75%,-0.68%,-12.13%
2020,2.83%,2.61%,-18.16%
2021,8.89%,17.34%,-6.80%
2022,5.32%,17.08%,75.56%
